time,temperature,resistance
2024-04-29 16:01:26.901487,33.24,101.673
2024-04-29 16:01:27.307624,33.23,101.669
2024-04-29 16:01:27.712951,33.24,101.672
2024-04-29 16:01:28.016229,33.26,101.672
2024-04-29 16:01:28.421495,33.32,101.673
2024-04-29 16:01:28.826754,33.38,101.678
2024-04-29 16:01:29.129813,33.43,101.688
2024-04-29 16:01:29.535685,33.51,101.695
2024-04-29 16:01:29.937355,33.59,101.705
2024-04-29 16:01:30.244340,0.0,101.716
2024-04-29 16:01:30.645805,33.75,101.725
2024-04-29 16:01:31.050538,33.85,101.737
2024-04-29 16:01:31.456749,33.95,101.75
2024-04-29 16:01:31.759588,34.01,101.764
2024-04-29 16:01:32.164585,34.12,101.777
2024-04-29 16:01:32.570456,34.22,101.789
2024-04-29 16:01:32.873429,34.3,101.807
2024-04-29 16:01:33.275196,34.41,101.82
2024-04-29 16:01:33.680722,34.53,101.835
2024-04-29 16:01:34.086475,34.64,101.847
2024-04-29 16:01:34.389274,34.72,101.863
2024-04-29 16:01:34.794716,34.85,101.881
2024-04-29 16:01:35.199435,34.97,101.896
2024-04-29 16:01:35.503224,35.1,101.915
2024-04-29 16:01:35.908388,35.22,101.933
2024-04-29 16:01:36.310373,35.3,101.952
2024-04-29 16:01:36.715821,35.44,101.968
2024-04-29 16:01:37.021392,35.57,101.985
2024-04-29 16:01:37.424315,35.69,102.003
2024-04-29 16:01:37.829274,35.83,102.024
2024-04-29 16:01:38.132659,35.92,102.038
2024-04-29 16:01:38.538105,36.06,102.061
2024-04-29 16:01:38.938962,36.19,102.079
2024-04-29 16:01:39.245884,36.28,102.099
2024-04-29 16:01:39.648356,36.42,102.118
2024-04-29 16:01:40.053725,36.55,102.139
2024-04-29 16:01:40.458902,36.68,102.161
2024-04-29 16:01:40.762360,36.78,102.181
2024-04-29 16:01:41.167504,36.91,102.203
2024-04-29 16:01:41.572797,37.06,102.226
2024-04-29 16:01:41.875974,37.15,102.244
2024-04-29 16:01:42.281430,37.29,102.269
2024-04-29 16:01:42.683360,37.43,102.29
2024-04-29 16:01:43.088852,37.57,102.312
2024-04-29 16:01:43.390940,37.67,102.334
2024-04-29 16:01:43.797242,37.79,102.357
2024-04-29 16:01:44.202752,37.92,102.38
2024-04-29 16:01:44.505170,37.99,102.401
2024-04-29 16:01:44.911287,38.08,102.418
2024-04-29 16:01:45.312683,38.16,102.433
2024-04-29 16:01:45.619554,0.0,102.448
2024-04-29 16:01:46.020836,38.28,102.459
2024-04-29 16:01:46.426741,38.33,102.468
2024-04-29 16:01:46.832153,38.35,102.475
2024-04-29 16:01:47.135127,38.39,102.476
2024-04-29 16:01:47.540317,38.43,102.48
